序号,核心词汇,简要解释
1,a,字母A；第一流的；学业成绩达最高标准的评价符号；[物]安（ampere）
2,abacus,算盘
3,abandon,放任；狂热；遗弃；放弃
4,abase,使…谦卑；降低…的品格；降低…的地位
5,abate,减轻；减少；废除；(Abate)人名；(英、意、法、埃塞)阿巴特
6,abbey,大修道院，大寺院；修道院中全体修士或修女
7,abbreviation,缩写；缩写词
8,ABC,"基础知识；字母表；美国广播公司（American Broadcasting Company）；澳大利亚广播公司（Australian Broadcasting Corporation）；出生在美国的华人（American - born Chinese）；代理商-商家-消费者的商业模式（Agent, Business, Consumer）"
9,abdicate,退位；放弃
10,abdomen,腹部；下腹；腹腔
11,abdominal,腹部的；有腹鳍的
12,abduct,绑架；诱拐；使外展
13,aberrant,异常的；畸变的；脱离常轨的；迷乱的
14,abhor,痛恨，憎恶
15,abide,忍受，容忍；停留；遵守
16,abiding,持久的，永久的；不变的；遵守；容忍；继续存在（abide的现在分词）
17,ability,能力，能耐；才能
18,abject,卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
19,ablaze,着火的；闪耀的；激昂的；着火；闪耀
20,able,能；[经管] 有能力的；能干的；(Able)人名；(伊朗)阿布勒；(英)埃布尔
21,ably,巧妙地；精明能干地
22,abnormal,反常的，不规则的；变态的
23,abnormality,异常；畸形，变态
24,aboard,在飞机上；[船] 在船上；在火车上；在…上
25,abode,住处；营业所；遵守；停留；忍受（abide的过去分词）
26,abolish,废除，废止；取消，革除
27,abolition,废除；废止
28,abominable,讨厌的；令人憎恶的；糟透的
29,aboriginal,土著的；原始的；土著居民；土生生物
30,aborigine,土著；土著居民
31,abort,流产；堕胎；夭折；发育不全；中止计划
32,abound,富于；充满
33,about,关于；大约；在附近的；四处走动的；在起作用的；大约；周围；到处；大致；粗枝大叶；不拘小节的人
34,above,超过；在……上面；在……之上；在上面；在上文；上文的；上文
35,aboveboard,光明正大地；率直地；光明正大的；直率的
36,abrasive,粗糙的；有研磨作用的；伤人感情的；研磨料
37,abreast,并肩地；并列；并排的；肩并肩的
38,abridge,删节；缩短；节略
39,abroad,在国外；到海外；往国外的；海外；异国
40,abrupt,生硬的；突然的；唐突的；陡峭的
41,abruptly,突然地；唐突地
42,absence,没有；缺乏；缺席；不注意
43,absent,缺席的；缺少的；心不在焉的；茫然的；使缺席
44,absentee,缺席者
45,absolute,绝对的；完全的；专制的；绝对；绝对事物
46,absolutely,绝对地；完全地
47,absolve,免除；赦免；宣告…无罪
48,absorb,吸收；吸引；承受；理解；使…全神贯注
49,abstain,自制；放弃；避免
50,abstention,弃权；节制；戒绝
51,abstinence,节制；节欲；戒酒；禁食
52,abstract,摘要；抽象；抽象的概念；抽象的；深奥的；摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
53,absurd,荒谬的；可笑的；荒诞；荒诞作品
54,abundance,充裕，丰富
55,abundant,丰富的；充裕的；盛产
56,abuse,滥用；虐待；辱骂；弊端；恶习，陋习；滥用；虐待；辱骂
57,abusive,辱骂的；滥用的；虐待的
58,abyss,深渊；深邃，无底洞，地狱
59,academic,学术的；理论的；学院的；大学生，大学教师；学者
60,academician,院士；大学生；学会会员；大学教师
61,academy,学院；研究院；学会；专科院校
62,accede,加入；同意；就任
