序号,核心词汇,简要解释
1,abandonment,放弃
2,abnormally,不正常的
3,absolutely,当然
4,abstract,抽象的
5,abuse,虐待；滥用
6,accelerate,加速
7,accomplish,实现
8,accountant,会计
9,accrue,积累
10,accurate,精确的
11,accuse,指控
12,accustom,使习惯
13,achieve,达到，实现
14,acquaintance,熟人
15,activate,激活
16,acutely,敏锐地
17,addict,上瘾，沉溺
18,address,解决
19,administration,管理，政府
20,adopt,采纳
21,adventure,冒险
22,adventurer,冒险者
23,adverse,相反的，敌对的
24,adversely,不利地
25,affection,喜爱
26,agenda,议程
27,aggravate,加重，加剧
28,agonize,使痛苦
29,aid,援助，有助于
30,alert,机警的；提醒
31,alien,陌生的
32,allergic,过敏的
33,alternative,代替品
34,analytical,分析的
35,ancient,古代的
36,ankle,脚踝
37,anonymous,匿名的
38,anticipate,期望，预期
39,anxiety,焦虑
40,apartment,公寓
41,apathy,冷漠
42,apologize,道歉
43,applicable,可应用的
44,applicant,申请者
45,appoint,任命
46,appreciative,表示赞赏的，感谢的
47,approach,方法
48,appropriate,适当的
49,approve,赞同
50,approximately,大约
51,arm,装备，武装
52,arouse,唤起
53,arrogant,傲慢无礼的
54,artificial,人造的，虚伪的
55,aspect,方面
56,assassinate,刺杀，暗杀
57,assemble,收集，组装
58,assessment,评估，评价
59,association,联系
60,athletic,运动的，运动员的
61,atmosphere,气氛，空气
62,attendant,服务人员
63,authorities,当局
64,authority,权威
65,authorization,授权
66,automatic,自动的
67,auxiliary,辅助的
68,available,可获得的，可利用的
69,awareness,意识
70,awesome,极好的，令人敬畏的
71,backup,后补，援助
72,bacteria,细菌
73,ballet,芭蕾
74,barely,几乎不，仅仅
75,barrier,障碍，阻碍
76,battery,电池
77,battle,激战，战役
78,bias,偏见
79,biography,自传
80,bitter,痛苦的
81,bizarre,古怪的；奇怪的
82,blame,谴责
83,blouse,衬衫
84,blueprint,蓝图，设计图
85,board,董事会
86,boom,繁荣
87,boost,提高
88,botanical,植物学的
89,bother,困扰
90,branch,分支，分公司
91,breakthrough,突破性进展
92,breed,繁殖；导致
93,breezy,轻松愉快的
94,bribe,贿赂
95,bridge,缩小；架桥于…之上
96,bruise,使碰伤，擦伤
97,brutal,残酷的
98,buck,反对；美元
99,burden,负担
100,bureaucracy,官僚主义
101,burial,埋葬
102,calculation,计算
103,calorie,卡路里
104,campaign,活动
105,cancel,取消
106,capable,有能力的
107,capacity,能力，容量
108,capital,资金的，资本的
109,capture,捕捉
110,cast,投掷，扔
111,casualty,伤亡人数
112,category,种类
113,cautious,谨慎的
114,chain,连锁店
115,chaos,混乱
116,character,角色
117,check,检查；阻止
118,chronicle,记录
119,circulation,发行量
120,circumstance,情况，环境
121,citation,引文
122,claim,索取，声称
123,clarify,澄清，明确
124,classify,分类
125,clause,条款
126,clue,线索
127,coastal,海滨的
128,code,代号，密码
129,collaborative,合作的
130,collapse,坍塌，崩塌
131,collective,共同的
132,collide,撞击，碰撞
133,commerce,商业
134,commitment,承诺
135,commodity,商品
136,compartment,"车厢, 隔间"
137,compel,强迫
138,compelling,引人注目的
139,compensate,弥补
140,competence,能力
141,complaint,抱怨，投诉
142,complicated,复杂的
143,comprehensive,综合的，全面的
144,concession,妥协
145,conclusive,得出结论的
146,concrete,具体的
147,conduct,引导，管理
148,confine,限制
149,conflict,冲突
150,conformity,一致
151,confrontational,对抗的，有敌意的
152,consensus,共识，一致
153,conservation,保护
154,conservative,保守的
155,considerable,相当多的
156,console,安慰
157,constant,不断的
158,construction,建筑
159,consultancy,咨询
160,consumption,"消费, 消耗"
161,contamination,污染
162,content,满意的
163,contention,争论
164,contrary,相反的
165,contribute,有助于
166,contribution,贡献
167,controversy,争议
168,conventional,传统的
169,convert,转换，改变
170,convict,证明……有罪
171,convince,使……相信
172,coordination,协调
173,corruption,腐败
174,counsel,建议，忠告
175,counselor,咨询顾问
176,countermeasure,对策
177,cover,报道
178,coverage,报道
179,criminal,犯罪的；罪犯
180,criteria,标准
181,critical,挑剔的，批评的；关键的
182,criticism,批评
183,crucial,关键的
184,curb,限制，控制
185,currency,货币
186,dare,勇敢，敢于做
187,debris,残骸，碎片
188,decent,体面的
189,decisive,决定性的
190,decline,拒绝
191,deem,认为
192,defect,缺点
193,defensive,防守的，防御的
194,deficient,不足的，缺乏的
195,deficit,赤字
196,defy,违背，违抗
197,deliberate,故意的
198,delicate,精细的，细微的
199,deliver,发表，递送
200,democracy,民主
201,denationalize,使非国有化
202,deny,否认
203,deprive,剥夺
204,derail,脱轨
205,derive,获得
206,descendant,子孙后代
207,descriptive,描写的，描述的
208,deserve,值得
209,desperate,绝望的，不顾一切的
210,destination,目的地
211,destructive,破坏性的，毁灭性的
212,detached,冷漠的，超然的
213,detect,发现
214,detective,侦探
215,diligence,勤奋
216,dim,暗淡的；愚蠢的
217,diminish,减少
218,disadvantage,缺点，不利条件
219,disappear,消失
220,disarm,解除，消除
221,discipline,学科
222,disconnect,断开
223,discourage,阻止；使气馁
224,disengagement,分离，疏离感
225,dishonest,不诚实的
226,dismiss,忽视
227,dispatch,发送，派遣
228,disproportionately,比例不均地，不成比例地
229,disservice,帮倒忙，危害
230,distinctive,与众不同的
231,distort,扭曲
232,distribution,分布，分配
233,diverse,各种各样的
234,diversion,转移；娱乐
235,diversity,多样性
236,divert,转移
237,dividend,分红，红利
238,documentary,纪录片
239,dolphin,海豚
240,domestic,国内的
241,dominate,主导，主宰
242,donor,捐赠者
243,dorm,宿舍
244,dramatically,大幅度地；戏剧性地
245,drastically,激烈地，猛烈地
246,drift,漂流
247,dropout,辍学
248,drought,干旱
249,drown,溺水
250,dweller,居住者
251,dysfunction,失灵
252,eccentric,古怪的
253,ecological,生态学的
254,edit,剪辑，编辑
255,election,选举
256,eliminate,消除
257,elite,精英
258,eloquent,口才好的，雄辩的
259,emerge,出现
260,emphasize,强调
261,encounter,遭遇
262,encourage,鼓励
263,endless,无限的，没完没了的
264,enforce,强迫，迫使
265,engage,忙于，从事；雇佣
266,enormous,巨大的
267,enrich,丰富，使富裕
268,enrollment,入学人数
269,enthusiastic,热情的
270,entrepreneurship,企业管理
271,epidemic,流行病
272,eradicate,根除
273,erect,建立
274,erroneous,错误的
275,erupt,"喷出, 爆发"
276,essential,本质的，必须的
277,esteem,尊重
278,ethnic,种族的
279,evolution,演变；进化；发展
280,exaggerate,夸张
281,exceed,超过
282,exceptional,例外的
283,excess,过量，过度
284,excessive,过度的
285,executive,执行官
286,exert,施加
287,exotic,异域的，外国的
288,expansion,扩大
289,expectation,期望
290,expedition,探险，远征
291,expenditure,费用，花销
292,expertise,专业知识
293,extend,延伸；延期
294,extent,程度
295,extinction,灭绝
296,extreme,极端的
297,eyewitness,目击者
298,facility,设施
299,faculty,教工，教员
300,fade,褪色
301,fatal,致命的
302,fatigue,疲惫
303,favor,偏爱
304,fearlessly,无畏地，大胆地
305,fierce,激烈的
306,figure,数字
307,fiscal,财政的
308,flat,平的；公寓
309,flavor,口味
310,flaw,缺点，瑕疵
311,flee,离开
312,flexible,灵活的
313,float,漂浮
314,footnote,注脚
315,forecast,预报，预测
316,format,形式
317,formidable,可怕的；令人敬畏的，令人惊叹的
318,foster,促进；培养
319,foundation,基金会
320,frankly,坦率地
321,frantic,疯狂的
322,fresh,新颖的，新奇的
323,frighten,使害怕
324,frontier,边境
325,frustrate,使挫败，使沮丧
326,fulfill,实现
327,furious,生气的；激烈的
328,fuss,小题大做
329,gallery,美术馆
330,gap,差距
331,garage,车库
332,gender,性别
333,generate,产生
334,generous,慷慨的
335,genetic,基因的
336,genius,天才
337,genuine,真的；由衷的
338,geology,地质学
339,gesture,姿势，手势
340,glamorous,有魅力的，迷人的
341,glory,光荣，荣誉
342,govern,管理
343,grand,壮丽的，极好的
344,grasp,抓住，理解
345,gratitude,感激
346,grocery,杂货店
347,guarantee,保证
348,guard,保护
349,guesstimate,大概估计，瞎猜估计
350,habitual,习惯的
351,handgun,手枪
352,handle,把手
353,hardship,艰难
354,harsh,严酷的，严峻的
355,hatch,孵化
356,hazard,危险
357,hesitate,犹豫
358,hinder,阻碍
359,hospitality,友好
360,host,主持
361,hostile,有敌意的
362,household,家庭，一家人
363,humanistic,人文的
364,humorous,幽默的
365,hypothesis,假设，假说
366,identify,认出，识别
367,ideologically,意识形态上地
368,ideology,意识形态
369,ignore,忽视
370,imbalance,不平衡
371,immense,巨大的
372,immensely,非常，极大地
373,immigrant,移民
374,imminent,即将来临的
375,impact,影响
376,impose,强加于
377,imprison,监禁
378,inadequate,不足的
379,incentive,刺激
380,incidence,发生率
381,incompetence,无能
382,index,指数
383,indicate,表明
384,indicative,指示的
385,indifferent,冷漠的
386,indiscriminately,不加选择地，不加区分地
387,indispensable,必不可少的
388,indulge,放纵
389,industrious,勤奋的
390,ineffective,无效的
391,inevitable,不可避免的
392,inexhaustible,用不完的，无穷无尽的
393,infant,婴儿
394,infect,感染
395,inflation,通货膨胀
396,influential,有影响力的
397,inhale,吸入
398,inherit,继承
399,initiative,主动性
400,injustice,不公正
401,innovation,创新，革新
402,inspire,鼓励
403,instant,立即的
404,instinctively,本能地
405,institution,机构
406,insufficient,不足的
407,integrity,正直
408,intelligent,聪明的
409,intensely,强烈地
410,interact,互动
411,interaction,互动
412,interference,干涉
413,interpretation,解释，理解
414,interracial,种族间的
415,intervene,干涉
416,intervention,干涉
417,intriguing,有趣的
418,invasion,入侵
419,irony,讽刺
420,irrelevant,无关的
421,irritate,激怒
422,isolation,隔绝，隔离
423,judicial,司法的
424,jury,陪审团
425,justifiable,理所应当的
426,justified,正当的
427,keen,浓厚的；敏锐的
428,kidnap,绑架
429,lack,缺少
430,lag,落后
431,launch,发布，推出
432,lawn,草坪
433,layman,门外汉
434,layout,陈列
435,legend,传奇
436,legislation,立法
437,legislator,立法者
438,lest,以免
439,lobby,游说
440,luxurious,奢侈的，豪华的
441,magnify,放大
442,maintenance,维修
443,majority,大多数
444,mall,商场
445,manifest,表明
446,manufacture,生产，制造
447,marine,海洋的
448,markedly,显著地
449,mask,面具；掩饰 掩盖
450,material,材料
451,materialize,实现
452,matter,重要；要紧
453,maturity,成熟
454,measure,措施
455,mechanism,机制
456,melt,融化
457,memo,备忘录
458,memorable,值得纪念的
459,mention,提及
460,merit,值得；优点
461,migrate,移民，迁徙
462,milestone,里程碑
463,minimal,最低的，最小限度的
464,mining,矿产
465,minor,次要的，小的
466,minority,少数，少数民族
467,miracle,奇迹
468,misfortune,不幸地
469,misinterpret,误解
470,mobility,活动
471,modernize,现代化
472,moist,潮湿的
473,monopoly,垄断
474,mortality,死亡率
475,motel,汽车旅馆
476,motivation,激励，刺激
477,mount,增加
478,mourn,哀悼
479,municipal,政府的
480,narrow,变窄，缩小
481,necessity,必须，必要性
482,needy,贫穷的
483,neglect,忽视
484,negotiation,协商
485,neighborhood,附近
486,neutrality,中立
487,nightmare,噩梦
488,nominate,提名
489,notion,想法，观点
490,numerous,无数的
491,nutritious,有营养的
492,obesity,肥胖
493,objective,目标，目的
494,oblige,迫使
495,obstacle,阻碍
496,occur,发生
497,offense,冒犯
498,oppose,反对
499,opposition,反对
500,optimistic,乐观的
501,organic,有机的
502,orient,使适应，使确定方向
503,outcome,结果
504,outdated,过时的
505,outlive,比……活的时间长
506,outnumber,超过
507,outsource,外包
508,outweigh,超过
509,overcharge,多收钱
510,overexcited,过于激烈的
511,overwhelm,压倒，战胜
512,owe,欠钱
513,owl,猫头鹰
514,panic,恐慌的
515,paradise,天堂
516,paralyze,瘫痪，麻痹
517,pasture,牧场
518,pattern,模式
519,pause,暂停，迟疑
520,pave,铺路
521,payroll,工资总额
522,peculiar,特有的，奇怪的
523,penalty,惩罚
524,pension,养老金
525,perish,死亡
526,perspective,视角，观点
527,pessimist,悲观主义者
528,phenomenon,现象
529,philosopher,哲学家
530,plot,情节
531,poetry,诗歌
532,polar,（南、北）极
533,poll,民意测验
534,ponder,仔细考虑
535,portion,部分
536,pose,形成
537,position,定位，安放；；位置，职位
538,possession,拥有
539,potential,潜在的；潜力
540,potentially,潜在地
541,practical,实践的；实用的
542,precedent,先例
543,precision,精确性
544,predict,预测
545,predominantly,占主导地位地
546,preference,偏爱
547,preindustrial,工业化以前的
548,prejudice,偏见
549,premium,奖金
550,prescribe,开处方
551,present,呈现，给予
552,presentation,展示，讲话
553,presidency,总统任期
554,prestige,名声，声望
555,previous,之前的
556,priceless,无价的，难以用价格衡量的
557,primitive,原始的，简单的
558,principle,原则
559,prior,优先的，先前的
560,private,私人的
561,procedure,程序
562,productivity,生产力
563,profitable,有利可图的，有利益的
564,profound,深刻的，博学的
565,prolonged,长时间的
566,promote,促进
567,promotion,促销
568,prompt,敦促
569,property,财产
570,propose,提出
571,prospect,前景
572,prosperity,繁荣
573,publicity,宣传
574,publicize,宣传
575,purchase,购买
576,pursue,追求
577,puzzling,迷惑的，困扰的
578,quantifiable,可量化的
579,qualification,资格
580,qualify,使有资格
581,quantity,数量
582,quicken,加快
583,quota,配额，销售额
584,quote,引用
585,rally,集会
586,randomly,随机地
587,rank,排列，分级
588,rape,强奸
589,rare,罕见的，稀少的
590,rate,费用
591,realm,领域，方面
592,reap,收割，收货
593,recall,回忆起，想起
594,receipt,发票
595,reception,接待
596,recipe,秘方，食谱
597,reckless,鲁莽的
598,reckon,认为，评价
599,reconcile,使和解，使一致；调解
600,recruit,招聘
601,recurrence,再次发生
602,reflect,思考，反映，反射
603,reflective,深思熟虑的；反映的，反射的
604,refreshing,新鲜的
605,regain,重新获得
606,registration,注册，登记
607,regulation,管理，规则
608,reimbursement,返还费用
609,reinforce,增强，提高
610,release,释放，发布
611,relevant,相关的
612,reliable,可靠的
613,relieve,减轻，缓解
614,relieved,轻松的，缓解的
615,reluctance,勉强，不情愿
616,remarkable,显著的，杰出的
617,remove,消除，移除；更新
618,replacement,代替
619,representative,代表
620,reproduction,繁殖
621,reservation,预定
622,resident,居民
623,resign,辞职
624,resist,抵制
625,resolute,坚定的
626,resort,度假胜地
627,respective,各自的
628,responsibility,责任
629,responsive,灵敏的，反应的
630,restrict,限制
631,resume,简历
632,retailer,零售商
633,reunion,团聚
634,reveal,揭露
635,revenue,收入
636,reverse,相反的
637,revive,复苏
638,revolutionize,革命化
639,rewarding,有回报的
640,ridiculous,滑稽的，可笑的
641,rigorous,严格的
642,ritual,仪式
643,robbery,抢劫
644,romantic,爱情的
645,ruin,毁坏
646,rustle,发出沙沙声
647,sample,样本，样品
648,scandal,丑闻
649,scarcity,缺乏
650,scare,恐吓，惊恐
651,scent,味道
652,schedule,时间表
653,sculpture,雕塑
654,sector,部门
655,sensible,理智的
656,server,服务器
657,session,会议，学年
658,severity,严重性
659,sexism,性别歧视
660,shade,掩盖
661,shady,阴凉的
662,shareholder,股东
663,shed,流出
664,sheer,纯粹的
665,shepherd,引导，带领
666,shift,转变
667,shot,照相，照片
668,shrewd,精明的
669,shrink,缩减，缩小
670,shrug,耸肩
671,shuttle,航天飞机
672,signal,标志
673,significant,重要的
674,signify,表明，象征
675,simultaneous,同步的
676,skeptical,怀疑的
677,skip,跳过
678,skyrocket,猛增
679,skyscraper,摩天大楼
680,slack,疲软的，萧条的
681,slash,削减
682,slight,轻微的
683,slim,苗条的
684,smuggle,走私
685,solid,坚实的，稳固的
686,solution,解决，溶液
687,soothe,安慰，减轻
688,sophisticated,复杂的，老于世故的
689,spacious,宽敞的
690,specialist,专家
691,species,物种
692,specific,具体的
693,specification,说明书
694,spectacle,景象
695,sponsor,"赞助, 赞助商"
696,spot,点；发现
697,spread,传播，扩散
698,squalor,肮脏
699,standardize,标准化
700,startle,使惊讶
701,steady,稳定的
702,stereotype,刻板印象，固有印象
703,stimulate,刺激，激励
704,stockbroker,股票经理人
705,stove,炉子
706,straightforward,直接的
707,strain,压力
708,strategy,策略
709,stray,迷路，流浪
710,stress,强调
711,strike,罢工
712,strip,狭长的一块
713,stuff,材料，东西
714,submerge,淹没
715,submit,提交
716,subsidy,补助
717,substance,物质
718,subtle,微妙的
719,suburban,郊区的
720,supervisor,督导
721,surgical,手术的
722,suspect,怀疑；嫌疑犯
723,suspicious,怀疑的
724,sway,影响
725,switch,转换
726,sympathetic,同情的
727,symptom,症状
728,tackle,解决，处理
729,tangled,复杂的，纠缠的
730,tank,水箱
731,temptation,诱惑
732,testify,证明，检验
733,testimony,证词
734,texture,质地
735,therapy,疗法
736,threat,威胁
737,threaten,威胁
738,threshold,门槛
739,tough,困难的，粗暴的
740,trace,追踪
741,track,追踪；轨迹，踪迹
742,tragedy,悲剧
743,trap,捕捉
744,trend,趋势
745,trigger,引发，引起
746,tropical,热带的
747,tuition,学费
748,turbulence,喧嚣；气流
749,turtle,海龟
750,tutor,辅导
751,twist,扭曲
752,typical,典型的
753,uncertain,不确定的
754,undecided,不确定的
755,underestimate,低估
756,underfunded,资金不足的
757,underlying,潜在的，基础的
758,undertake,承担；着手，开始
759,undertaking,任务，事情
760,undocumented,无证明的
761,unethical,不道德的
762,uneven,不均衡的
763,unexpected,意想不到的
764,unified,统一的
765,unprecedented,史无前例的
766,unrealistic,不现实的
767,unstable,不稳定的
768,untiring,不知疲倦的
769,untrustworthy,不值得信任的，怀疑的
770,urban,城市的，都市的
771,urbanization,城市化
772,urge,催促
773,urgent,急迫的
774,utilization,利用
775,validity,有效性，真实性
776,variation,变化
777,vary,变化
778,vegetarian,素食主义者
779,vehicle,车辆
780,vessel,血管
781,victim,受害者
782,view,看待
783,viewpoint,观点
784,violation,违反
785,violent,暴力的
786,virtual,实际的，虚拟的
787,virtually,几乎
788,virus,病毒
789,vitamin,维他命
790,vulnerable,"脆弱的, 易受影响的"
791,welfare,福利
792,widespread,广泛传播的
793,wildfire,森林大火
794,wildlife,野生动物
795,wishful,一厢情愿的
796,wonder,想知道，好奇
797,workload,工作量
798,yield,产生
799,deposit,存放；存款
800,receptionist,接待员
801,particle,粒子，微粒
802,furnish,提供
803,elaborately,复杂地，精心设计地
804,infectious,感染的，传染的
805,diagnose,诊断
806,cripple,残疾，跛子
807,aggressive,挑衅的
808,aptly,适当地
809,assimilate,同化
810,consistent,一致的
811,suspend,暂停
812,ingenuity,创造力
813,reserved,保留意见的；矜持的
814,unbiased,公正的
815,disposal,支配；处理
816,inferior,比……差
817,stabilize,使稳固，使安定
818,fertility,多产，肥沃
819,bleak,荒凉的
820,soar,高飞
821,optimism,乐观
822,ambition,野心，报复
823,pragmatic,务实的，讲求实际的
824,compromise,妥协；危害
825,perpetual,永久的
826,dispensable,可有可无的
827,assault,攻击
828,transcend,超越
829,inherent,固有的
830,baffle,使迷惑，困惑
831,stain,污渍，污点
832,peer,同龄人
833,isolate,使隔离
834,abolition,废除
835,slavery,奴隶制度
836,script,脚本，剧本
837,manuscript,手稿
838,trait,特点
839,deviate,偏离
840,overwhelming,压倒性的
841,successively,接连着地，继续地
842,visualize,想象
843,underrepresented,未被充分代表的
844,tap,"轻敲, 导出"
845,extinguish,熄灭；使消亡
846,toxic,有毒的
847,postdoctoral,博士后的
848,recommend,推荐
849,consultation,商议
850,determine,决定
851,confidential,机密的
852,curriculum,课程
853,cafeteria,自助餐厅
854,trim,修剪
855,expel,开除，驱逐
856,refine,精炼；使……文雅
857,suicide,自杀
858,manual,手工的；体力的
859,alphabetical,按字母表顺序的
860,bloom,开花，茂盛
861,fertilizer,肥料
862,plough,犁
863,affiliate,使隶属于
864,hazardous,危险的
865,instantaneous,即时的，瞬间的
866,intrinsic,本质的，固有的
867,paradox,悖论
868,grateful,感激的
869,modify,改变
870,consent,同意
871,intuitive,直觉的
872,scaffolding,脚手架
873,outperform,胜过
874,discern,识别
875,lawsuit,诉讼
876,ruling,裁定
877,designate,指定，委派
878,endorsement,支持
879,tasteless,没有味道的
880,brilliant,才华横溢的；极好的
881,fabric,布料
882,vocational,职业的
883,carpentry,木工业
884,ventilate,使通风
885,embody,体现
886,tedious,冗长的
887,deduction,扣款
888,fluctuate,波动
889,simultaneously,同步地，同时地
890,craft,手艺；精巧地制作
891,facilitate,使便利；促进
892,deteriorate,恶化
893,hasten,加速
894,specialize,专业从事
895,liberation,解放
896,pursuit,追求
897,bemoan,抱怨；惋惜
898,evolve,进化
899,fluently,流利地
900,composition,作文
901,literal,字面的
902,honorary,荣誉的
903,hurl,猛投
904,confer,授予
905,notoriously,臭名昭著地
906,validation,证实
907,jeopardize,危害，危及
908,allegedly,据说
909,vigorous,积极的；精力充沛的
910,fake,假货
911,contestant,参赛者
912,column,专栏
913,hasty,匆忙的
914,linger,逗留，徘徊
915,inheritance,继承；遗产
916,worldly,世间的，尘世的
917,dimension,尺寸；维
918,eligible,适合的；胜任的
919,permanent,永久的
920,memorize,熟记
921,evaluation,评价
922,literacy,教育；文化
923,enviable,值得羡慕的
924,bipartisan,两党的
