序号,核心词汇,简要解释
1,pharmacy,药房；配药学，药剂学；制药业；一批备用药品
2,toilsome,辛苦的；劳苦的；费力的
3,efface,抹去，抹掉；使自己不受人注意
4,plastic,塑料的；（外科）造型的；可塑的；塑料制品；整形；可塑体
5,advocacy,主张；拥护；辩护
6,clutter,杂乱，混乱；使凌乱；胡乱地填满
7,profession,职业，专业；声明，宣布，表白
8,parsimonious,吝啬的；过于节俭的；质量差的
9,Phosphorus,磷
10,bravo,喝彩；亡命徒；喝彩；好极了
11,alkali,碱；可溶性无机盐；碱性的
12,augment,增加；增大
13,quarrelsome,喜欢吵架的；好争论的
14,upheave,鼓起；举起；使隆起
15,unaccountable,无责任的；莫名其妙的；不可理解的
16,surmise,猜测；推测；推测；猜度
17,celebrity,名人；名声
18,laborious,勤劳的；艰苦的；费劲的
19,petulant,暴躁的；任性的；难以取悦的
20,volant,迅速的；会飞的；飞行的；(Volant)人名；(法)沃朗
21,degenerate,使退化；恶化；退化的；堕落的；堕落的人
22,chimerical,空想的，妄想的；荒唐的
23,slope,斜坡；倾斜；斜率；扛枪姿势；倾斜；逃走
24,scathe,损伤；损害；损伤；危害；损害
25,generation,一代；产生；一代人；生殖
26,brigade,旅；大部队；队列；把…编成旅；把…编成队
27,alternate,交替；轮流；交替的；轮流的；替换物
28,triennial,每三年的；连续三年的；三年生植物
29,impugn,指责，非难；抨击；反驳；对…表示怀疑
30,altimeter,测高仪，高度计
31,orthodoxy,正统；正教；正统说法
32,gasoline,汽油
33,hindrance,障碍；妨碍；妨害；阻碍物
34,flaunt,炫耀；飘扬；炫耀；飘扬；招展
35,evolution,演变；进化论；进展
36,toll,通行费；代价；钟声；伤亡人数；征收；敲钟
37,assertive,肯定的；独断的；坚定而自信的
38,median,n中值，中位数；三角形中线；梯形中位线；中值的；中央的
39,salient,显著的；突出的；跳跃的；凸角；突出部分
40,constructive,建设性的；推定的；构造上的；有助益的
41,anathema,诅咒；革出教门；被诅咒者；令人厌恶的人
42,retrograde,倒退的；退化的；次序颠倒的；逆行；倒退；退步；倒退地；向后地
43,wherever,无论什么地方；究竟在哪里；无论在哪里；无论什么情况下
44,effeminate,柔弱的；女人气的；女子气的男人；使柔弱；使无男子汉气概；变得无男子汉气概；变得柔弱
45,torrid,晒热的；热情的
46,dynamic,动态的；动力的；动力学的；有活力的；动态；动力
47,resignation,辞职；放弃；辞职书；顺从
48,literacy,读写能力；精通文学
49,dissipate,浪费；使…消散
50,imaginary,虚构的，假想的；想像的；虚数的
51,symptomatic,有症状的；症候的
52,purposeful,有目的的；有决心的
53,pervade,遍及；弥漫
54,aesthetic,美的；美学的；审美的，具有审美趣味的
55,caustic,[化学] 腐蚀性的；[化学] 苛性的；刻薄的；焦散的；[助剂] 腐蚀剂；苛性钠；焦散曲线
56,timer,[电子] 定时器；计时器；计时员，记时员；跑表；延时调节器
57,helix,螺旋，螺旋状物；[解剖] 耳轮
58,advantageous,有利的；有益的
59,lucrative,有利可图的，赚钱的；合算的
60,canonical,依教规的；权威的；牧师的；牧师礼服
61,guise,伪装；装束；外观；使化装；伪装
62,censorship,审查制度；审查机构
63,illegal,[法] 非法的；违法的；违反规则的；非法移民，非法劳工
64,consultant,顾问；咨询者；会诊医生
65,burgeon,"芽, 嫩枝；萌芽, 发芽"
66,automaton,自动机；机器人；自动机器
