序号,核心词汇,简要解释
1,reproduce,复制；再生；生殖；使…在脑海中重现
2,pen,钢笔；作家；围栏；写；关入栏中
3,blotter,记事簿，[会计] 流水帐；吸墨纸
4,lust,性欲；强烈的欲望；贪求，渴望
5,malignant,[医] 恶性的；有害的；有恶意的；保王党员；怀恶意的人
6,twelve,十二；十二个；十二的；十二个的
7,anal,[解剖] 肛门的，直肠的；肛门附近的；(Anal)人名；(土)阿纳尔
8,serene,平静的；安详的；清澈的；晴朗的；平静；晴朗；使平静
9,benign,良性的；和蔼的，亲切的；吉利的；(Benign)人名；(俄)贝尼根
10,independent,独立的；单独的；无党派的；不受约束的；独立自主者；无党派者
11,knighthood,骑士；骑士身份
12,relative,相对的；有关系的；成比例的；亲戚；相关物；[语] 关系词；亲缘植物
13,conceptual,概念上的
14,encase,包住；围绕；包装
15,headstrong,任性的；顽固的；刚愎的
16,lieutenant,中尉；副官；助理人员
17,ought,应该，应当；大概
18,pasture,草地；牧场；牧草；放牧；吃草
19,mackintosh,橡皮布防水衣；橡皮布
20,unaccountable,无责任的；莫名其妙的；不可理解的
21,curry,用咖喱烧，给…加咖喱粉；梳刷；鞭打；咖哩粉，咖喱；咖哩饭菜
22,browser,[计] 浏览器；吃嫩叶的动物；浏览书本的人
23,tyrannical,残暴的；暴君的；专横的
24,button,按钮；纽扣；扣住；扣紧；在…上装纽扣
25,trait,特性，特点；品质；少许
26,stiff,呆板的；坚硬的；严厉的；拘谨的；僵硬地；彻底地；死尸；令人讨厌者；流通票据；劳动者；诈骗；失信
27,leg,腿；支柱
28,wreckage,（失事船或飞机等的）残骸；（船只等的）失事
29,quota,配额；定额；限额
30,announcement,公告；宣告；发表；通告
31,rosette,莲座丛；玫瑰形饰物；[建] 圆花饰
32,pastime,娱乐，消遣
33,lark,云雀；百灵鸟；欢乐；骑马玩乐；嬉耍
34,borrow,借；借用；从其他语言中引入；(Borrow)人名；(英)博罗
35,keel,给…装龙骨；把…翻转；龙骨；平底船；龙骨脊
36,British,英国的；英国人的；大不列颠的；英国人
37,extinction,灭绝；消失；消灭；废止
38,ridicule,嘲笑；嘲弄；愚弄；嘲笑；笑柄；愚弄
39,misconduct,不端行为；处理不当；处理不当；行为不检
40,orphan,孤儿的；无双亲的；孤儿；使成孤儿
41,gullible,易受骗的；轻信的
42,affable,和蔼可亲的；友善的
43,roadside,路边；路旁；路边的；路旁的
44,levy,征收；征兵，征税；征收（税等）；征集（兵等）
45,showdown,摊牌；紧要关头；最后一决胜负
46,atmosphere,气氛；大气；空气
47,maths,数学（等于mathematics）
48,audit,审计；[审计] 查账
49,hostel,旅社，招待所（尤指青年旅社）
50,doorway,门口；途径
51,synagogue,犹太教会堂；犹太人集会
52,eaves,屋檐；凸出的边缘
53,trestle,[交] 栈桥，高架桥；支架，搁凳
54,defer,推迟；延期；服从；(Defer)人名；(法)德费
55,backwards,倒；向后；逆
56,scrum,扭打，混乱；并列争球；参加并列争球；抛（球）开始并列争球
57,barrow,搬运架，手推车；弃矿；古坟
58,fragrant,芳香的；愉快的
59,ambition,野心，雄心；抱负，志向；追求；有…野心
60,send,发送，寄；派遣；使进入；发射；上升运动
61,toil,辛苦；苦工；网；圈套；辛苦工作；艰难地行进
62,recourse,求援，求助；[经] 追索权；依赖；救生索
63,fester,溃烂；化脓；溃烂；脓疮，脓疱
64,Zulu,祖鲁语；祖鲁人；祖鲁人的
65,lemon,柠檬色的；柠檬
66,rack,[机] 齿条；架子；拷问台；变形；随风飘；小步跑
67,saline,盐的；含盐分的；盐湖；碱盐泻药
68,rectification,改正，矫正；[化工] 精馏；[电] 整流；[数] 求长
69,fishing,渔业；捕鱼（术）；试探；装配；钓鱼的；钓鱼用的；捕鱼（fish的ing形式）
70,rhythmic,[生物] 有节奏的（等于rhythmical）；间歇的；合拍的；韵律论（等于rhythmics）
71,unobtrusive,不唐突的；谦虚的；不引人注目的
72,ostentatious,招摇的；卖弄的；夸耀的；铺张的；惹人注目的
73,infamous,声名狼藉的；无耻的；邪恶的；不名誉的
74,contemporary,同时代的人；同时期的东西；当代的；同时代的；属于同一时期的
75,factory,工厂；制造厂；代理店
76,trek,艰苦跋涉；（牛）拉（货车）；搬运
77,eighteenth,第十八的，第十八个的；十八分之一的；第十八；十八分之一
78,interminable,冗长的；无止尽的
79,beguile,欺骗；使着迷；轻松地消磨
80,attempt,企图，试图；攻击；企图，试图；尝试
81,coil,盘绕，把…卷成圈；线圈；卷
82,high,高的；高级的；崇高的；高音调的；高水平；天空；由麻醉品引起的快感；高压地带；高；奢侈地
83,fit,安装；使……适应；使……合身；与……相符；健康的；合适的；恰当的；准备好的；合身；发作；痉挛
84,cavern,洞穴；凹处；挖空；置…于洞穴中
85,intrusive,侵入的；打扰的
86,transitive,及物的；过渡的；可迁的；传递；及物动词
87,besides,此外；而且；除…之外
88,ample,丰富的；足够的；宽敞的；(Ample)人名；(西)安普尔
89,abduct,绑架；诱拐；使外展
90,parish,教区
91,too,太；也；很；还；非常；过度
92,robot,机器人；遥控设备，自动机械；机械般工作的人
93,replacement,更换；复位；代替者；补充兵员
94,remuneration,报酬；酬劳，赔偿
95,denounce,谴责；告发；公然抨击；通告废除
96,gradual,逐渐的；平缓的；弥撒升阶圣歌集
97,deluge,洪水；泛滥；暴雨；使泛滥；压倒
98,thumbtack,图钉；用图钉钉住
99,methane,[有化] 甲烷；[能源] 沼气
100,mumble,含糊地说；抿着嘴嚼；含糊的话；咕噜
101,commemorate,庆祝，纪念；成为…的纪念
