序号,核心词汇 (Terminology),简要解释 (Simple Explanation),
1,Nano-biomaterials,纳米生物材料：用于医疗设备、具有纳米尺度特征并与生物系统相互作用的材料。,
2,Nanofabrication,纳米制造：制造纳米级结构和材料的技术。,
3,Zero-dimensional (0D) nanomaterials,零维纳米材料：三个维度均在纳米尺度（<100 nm）的材料，如纳米颗粒、量子点。,
4,One-dimensional (1D) nanomaterials,一维纳米材料：两个维度在纳米尺度的材料，如纳米纤维、纳米管、纳米柱。,
5,Two-dimensional (2D) nanomaterials,二维纳米材料：一个维度在纳米尺度的材料，如纳米薄膜、自组装单层、石墨烯。,
6,Three-dimensional (3D) nanomaterials,三维纳米材料：由纳米结构单元组成的宏观材料，如纳米结构块体、光子晶体。,
7,Quantum dots,量子点：纳米尺度的半导体晶体，具有尺寸依赖的发光特性。,
8,Self-assembled monolayers (SAMs),自组装单层：分子在基底表面自发形成的有序单层膜。,
9,Hydroxyapatite (HA),羟基磷灰石：一种天然存在的矿物形式，是骨骼和牙齿的主要成分，常用于骨修复材料。,
10,Bioglass,生物活性玻璃：能与骨组织形成化学键合的玻璃材料。,
11,ePTFE,膨体聚四氟乙烯：一种多孔聚合物，用于血管移植物等。,
12,UHMWPE,超高分子量聚乙烯：一种高强度的聚合物，用于关节置换等承重应用。,
13,Materials Engineering Paradigm,材料工程范式：描述材料加工、结构/化学、性质、性能之间关系的框架。,
14,Characterization,表征：使用分析技术测量材料的组成、结构、形貌、性质等信息的过程。,
15,Composition analysis,成分分析：确定材料由哪些元素或化合物组成及其含量的技术。,
16,Structure measurement,结构测量：分析材料原子、分子排列方式（如晶体结构）的技术。,
17,Morphology observation,形貌观察：观察材料的形状、尺寸、表面特征和微观结构。,
18,UV-Vis spectroscopy,紫外-可见分光光谱法：测量材料对紫外和可见光的吸收，用于定性定量分析和研究纳米颗粒聚集状态。,
19,Infrared spectroscopy (IR),红外分光光谱法：通过分子振动吸收红外光，鉴定化学键和官能团。,
20,X-ray photoelectron spectroscopy (XPS),X射线光电子能谱：通过测量X射线激发出电子的动能，分析材料表面（~10 nm）的元素组成和化学态。,
21,Raman spectroscopy,拉曼光谱：基于分子振动时拉曼散射效应，提供分子结构信息。,
22,Nuclear Magnetic Resonance (NMR),核磁共振：利用原子核在磁场中对射频辐射的吸收，分析分子结构和动态。,
23,Mass spectrometry (MS),质谱法：通过测量离子质荷比来鉴定和定量分子。,
24,X-ray diffraction (XRD),X射线衍射：通过X射线照射晶体产生的衍射图样，确定晶体结构、相组成和晶粒尺寸。,
25,Electron diffraction (ED),电子衍射：与XRD原理类似，但使用电子束，用于TEM中分析微区晶体结构。,
26,Thermal analysis,热分析：测量材料性质随温度变化的一系列技术。,
27,Thermogravimetric analysis (TGA),热重分析：测量材料质量随温度/时间的变化，用于研究热稳定性、分解、挥发等。,
28,Differential thermal analysis (DTA),差热分析法：测量样品与惰性参比物之间的温度差随温度的变化，用于检测相变、反应等热事件。,
29,Differential scanning calorimetry (DSC),差示扫描量热法：测量为保持样品与参比物温度相同所需的热流差，定量测量热焓变。,
30,Derivative thermogravimetry (DTG),微商热重法：TGA曲线对时间或温度的一阶导数，更清晰地显示质量变化速率和峰值温度。,
31,Endothermic process,吸热过程：从环境吸收热量的过程，在DTA/DSC曲线上通常显示为向下的峰。,
32,Exothermic process,放热过程：向环境释放热量的过程，在DTA/DSC曲线上通常显示为向上的峰。,
33,Optical microscopy,光学显微镜：使用可见光观察样品，包括明场、暗场、相差、偏光等多种模式。,
34,Fluorescence microscopy,荧光显微镜：利用样品自身荧光或荧光标记，观察特定分子或结构的分布。,
35,Confocal microscopy,共聚焦显微镜：通过空间针孔消除焦平面外光线，提高分辨率和光学切片能力。,
36,Green Fluorescent Protein (GFP),绿色荧光蛋白：一种能自发发出绿色荧光的蛋白质，广泛用作生物标记物。,
37,Resolution,分辨率：显微镜能清晰分辨两个相邻点的最小距离。,
38,Duality principle,波粒二象性：微观粒子（如电子）同时具有波动和粒子的性质。,
39,Scanning electron microscopy (SEM),扫描电子显微镜：用聚焦电子束扫描样品表面，通过检测二次电子或背散射电子成像，观察表面形貌。,
40,Transmission electron microscopy (TEM),透射电子显微镜：用电子束穿透薄样品，通过透射电子成像，观察内部结构、晶格、颗粒尺寸等。,
41,Scanning transmission electron microscopy (STEM),扫描透射电子显微镜：结合了SEM的扫描模式和TEM的透射成像，可进行高分辨成像和元素分析。,
42,Energy-dispersive X-ray spectroscopy (EDX),能量色散X射线能谱：利用电子束激发的特征X射线进行微区元素成分分析。,
43,Cryo-electron microscopy (Cryo-TEM),冷冻透射电子显微镜：将样品快速冷冻在玻璃态冰中，在低温下用TEM观察，用于生物大分子结构解析。,
44,Vitrification,玻璃化：通过快速降温使液体转变为非晶态固体，避免冰晶形成，用于Cryo-TEM样品制备。,
45,3D reconstruction,三维重构：从不同角度的2D投影图像，通过计算重建出物体的3D结构，是Cryo-TEM的关键步骤。,
