序号,核心词汇,简要解释
1,handily,轻松地
2,seal,（密）封
3,paycheck,工资支票
4,cessation,中止
5,sensible,合理的
6,revision,修改
7,ascertain,确定，查明
8,property,财产
9,carpenter,木工，木匠
10,federal,联邦的
11,greed,贪心
12,bargain,讨价还价
13,taboo,禁忌；禁止
14,pollster,民意调查者
15,inactive,不活跃的，停滞的
16,slack,萧条的
17,distinguishing,与众不同的
18,wrap,包，裹
19,nameless,不可名状的
20,sarcastic,讽刺的
21,distinguished,卓越的
22,battery,电池
23,contempt,轻视；蔑视
24,conclusive,（事实、证据等）令人信服的，确凿的
25,ghetto,贫民区
26,rejection,拒绝
27,stamp,打上（或盖上）（标记，图案） ;踏平
28,tip,小费 v.给....小费
29,proprietor,所有者，经营者
30,curb,路缘vt.控制；勒住
31,extraterrestrial,地球外的，地球大气圈外的;n. 外星人
32,mastery,精通，熟练
33,assure,向...保证，使...确信
34,cease,停止，终止
35,reputation,名誉，声望
36,symbolize,象征；用符号代表
37,funeral,葬礼的
38,gullible,易受骗的；轻信的
39,declare,宣布
40,render,给予，提供
41,standstill,停止，停顿
42,neural,神经的
43,fake,假的
44,willpower,意志力
45,households,家庭
46,fade,使褪色；逐渐消逝
47,dwelling,住宅
48,ease,缓解，减少
49,gaily,花哨地，艳丽地
50,overeat,吃得过多
51,recollect,使想起
52,flourish,繁荣
53,aftermath,后果；余波
54,essay,小论文
55,impose,利用；欺骗；施加影响
56,qualification,资格
57,incalculable,不可估量的
58,incidentally,附带地，顺便提及
59,silhouette,使呈现暗色轮廓
60,suspender,吊带裤，悬挂物
61,undertaking,工作，任务
62,award,奖励，奖品
63,forum,论坛
64,staggering,难以置信的，令人震惊的
65,aimless,没有目标的
66,bankruptcy,破产，倒闭
67,pedestrian,行人
68,maintenance,维护，维修
69,descend,（夜色，黑暗）降临
70,philosophy,哲理
71,gritty,勇敢的，坚毅的
72,panic,恐慌
73,wrath,愤怒；激怒
74,tactic,把戏；战术；策略，战略
75,confrontation,对抗；面对
76,vigorous,强有力的（运动、活动）精力充沛的
77,recommend,推荐
78,artificial,人造的； 人工的
79,sustainability,持续性
80,appeal,吸引；呼吁
81,fertile,肥沃的，能生产的
82,spite,恶意，怨恨
83,radical,根本的，基本的
84,transmission,传输；传送
85,origin,起源，来源
86,conserve,保护
87,reasonable,适当的，适度的
